Rank,Corpus ID,Authors,Year,Title,DOI,DSD_variety,DSD_frequency,LSD_variety,LSD_frequency,PSD_variety,PSD_frequency,MSD_variety,MSD_frequency,Score,Matched_Terms
2716,3677,"Okada, Y. (Kyushu Univ., Fukuoka (Japan)); Hiramatsu, K.; Shikasho, S.",2003,Relationship between basin storage and discharge in a small mountainous basin [in Japan],,0,0,0,0,0,0,1,4,0.9,MSD: law*(4)
2717,3734,"Miyako, E. (Kyushu Univ., Fukuoka (Japan)); Maruyama, T.; Kamiya, N.; Goto, M.",2003,Transport of organic acids through a supported liquid membrane driven by lipase-catalyzed reactions,,0,0,0,0,0,0,1,4,0.9,MSD: transport*(4)
2718,3818,"Araki, T. (Kyushu Univ., Fukuoka (Japan)); Eguchi, T.; Wajima, T.; Yoshida, S.; Kitano, M.",2004,"Dynamic analysis of growth, water balance and sap fluxes through phloem and xylem in a tomato [Lycopersicon esculentum] fruit: Short-term effect of water stress",,0,0,0,0,0,0,1,4,0.9,MSD: transport*(4)
2719,3925,"Pokhrel, C.P. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Yoshimoto, H.; Iida, S.; Ohga, S.",2004,Mycelial growth and fruit body formation of Lyophyllum decastes in livestock compost,,0,0,0,0,0,0,1,4,0.9,MSD: livestock*(4)
2720,4604,"Isozaki, Y.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Koga, T.; Inada, S.",2006,Reduction in the number of artificial insemination after superovulation using gonadotrophin releasing hormone in Japanese black cattle,,0,0,0,0,0,0,1,4,0.9,MSD: cattle*(4)
2721,4895,"Komatsu, H.(Kyushu Univ., Fukuoka (Japan)); Hashimoto, S.; Kume, T.; Yoshifuji, N.; Hotta, N.; Suzuki, M.",2007,Seasonal changes in the net radiation/solar radiation ratio above a Cryptomeria japonica plantation forest,,0,0,0,0,0,0,1,4,0.9,MSD: seasonal*(4)
2722,5826,"Sangakkara, U.R.; Amerasekera, P.; Bandaranayake, P.R.S.D.; Rahmann, G.; Aksoy, U.",2014,A  COMPARISON OF STRATEGIES FOR WEED MANAGEMENT IN NATURE FARMING,,0,0,0,0,0,0,1,4,0.9,MSD: strateg*(4)
2723,6538,"Kitazaki, K. ((Fukuoka Agriculture and Forestry Research Center, Chikushino (Japan). Department of Animal Production), (University of Miyazaki, Miyazaki (Japan). Graduate School of Medicine and Veterinary Medicine)); Ohtani, Y.; Obara, Y.; Ohta, T.; Umeda, T.; Baba, T.; Ano, H.; Katamoto, H.",2019,Effects of trehalose supplementation on oxidative stress markers in dairy cows at high environmental temperatures,,0,0,0,0,0,0,1,4,0.9,MSD: dairy*(4)
2724,94,"Sabatier R., Wiegand K., Meyer K.",2013,Production and robustness of a cacao agroecosystem: Effects of two contrasting types of management strategies,10.1371/journal.pone.0080352,0,0,0,0,0,0,1,3,0.8,MSD: strateg*(3)
2725,559,"Martín L., García-García B., Alguacil M.D.M.",2022,"Interactions of the Fungal Community in the Complex Patho-System of Esca, a Grapevine Trunk Disease",10.3390/ijms232314726,0,0,0,0,0,0,1,3,0.8,MSD: family(3)
2726,1211,"Singh A., Kumar R., Kapoor S., Bhadwal M.S., Singh A.P.",2025,Exploring the effectiveness of bio-formulations from various cattle breeds on pea growth and yield,10.1007/s13165-025-00505-9,0,0,0,0,0,0,1,3,0.8,MSD: cattle*(3)
2727,1997,"Wang, Z; Itahashi, S; Uno, I; Pan, XL; Osada, K; Yamamoto, S; Nishizawa, T; Tamura, K; Wang, ZF",2017,Modeling the Long-Range Transport of Particulate Matters for January in East Asia using NAQPMS and CMAQ,10.4209/aaqr.2016.12.0534,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2728,2016,"Uchiyama, A; Chen, B; Yamazaki, A; Shi, GY; Kudo, R; Nishita-Hara, C; Hayashi, M; Habib, A; Matsunaga, T",2018,Aerosol Optical Characteristics in Fukuoka and Beijing Measured by Integrating Nephelometer and Aethalometer: Comparison of Source and Downstream Regions,10.2151/jmsj.2018-026,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2729,2089,"Srinivasan, N; Koh, YX; Goh, BKP",2019,Systematic review of the utility of 18-FDG PET in the preoperative evaluation of IPMNs and cystic lesions of the pancreas,10.1016/j.surg.2018.11.006,0,0,0,0,0,0,1,3,0.8,MSD: systema*(3)
2730,2116,"Patandianan, MV; Shibusawa, H",2020,"Impacts of disaster on the inbound tourism economy in Kyushu, Japan: a demand side analysis",10.1007/s41685-020-00167-3,0,0,0,0,0,0,1,3,0.8,MSD: tourism*(3)
2731,2289,"Kano, A; Kato, H; Murata, A",2023,Oxygen isotopes of the Japanese stalagmites as global and local paleoclimate proxies,10.1111/iar.12491,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2732,2887,"Umeda, T. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Koyama, F.; Takamuku, K.",2001,Determination of mineral concentrations of beef cattle manure with near infrared reflectance spectroscopy,,0,0,0,0,0,0,1,3,0.8,MSD: cattle*(3)
2733,2956,"Shirakawa, H. (Fukuoka-ken. Government Office (Japan)); Ueno, T.; Makino, A.; Yamane, S.; Yokoyama, A.",2001,Fatal complications of necrotizing enteritis and coccidiosis in beef cattle,,0,0,0,0,0,0,1,3,0.8,MSD: cattle*(3)
2734,2992,"Ikeda, H. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Ishii, T.; Ibaraki, T.; Kojima, T.; Ohta, H.",2001,Influence of transport vibration on respiration rates and chemical components of broccoli (Brassica oleracea var. italica),,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2735,3131,"""Ikeda, K. (Fukuoka-ken. Forest Experiment Station, Kuroki (Japan)).""",2002,"""The food habits of sika deer [Cervus nippon] in a coniferous plantation area, northern Kyushu [Japan].""",,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2736,3246,"""Kitazaki, K. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)).""",2002,Epidemiologic study on hoof and leg diseases of dairy cows housed under different system,,0,0,0,0,0,0,1,3,0.8,MSD: dairy*(3)
2737,4080,"Geng, X.M.(Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Okubo, H.; Saniewski, M.",2005,"Cultivar and seasonal differences in the response of non pre-cooled tulip bulbs to gibberellin, TIBA and root excision",,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2738,4110,"Fujitomi, S.(Fukuoka-ken. Agricultural Research Center, Chikushino(Japan)); Sueyoshi, T.; Hirano, T.",2005,Effects of continuous manure application on soil nitrogen mineralization and nitrogen balance of granitic soil vegetable fields,,0,0,0,0,0,0,1,3,0.8,MSD: cattle*(3)
2739,4441,"Nishikawa, R.(Kyushu Univ., Fukuoka (Japan)); Murakami, T.; Otsuki, K.; Mizoue, N.; Yoshida, S.",2006,Determining seasonal variation in bamboo forest spectral reflectance using satellite- and ground-based data,,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2740,4611,"Watanabe, H.(Tokyo Univ. of Marine Science and Technology (Japan)); Yahata, Y.; Fukuoka, M.; Sakiyama, T.; Mihori, T.",2006,Relative water content model that descrides Non-Fickian diffusion in multiphase inhomogeneous systems,,0,0,0,0,0,0,1,3,0.8,MSD: law*(3)
2741,4655,"Ikeda, K.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Koyama, F.; Takamuku, K.; Fukuda, N.",2006,The efficiency of germination index method as a maturity parameter for livestock feces composts,,0,0,0,0,0,0,1,3,0.8,MSD: livestock*(3)
2742,5105,"Shimojo, M.(Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Shao, T.; Masuda, Y.",2008,"Introducing viewpoints of mechanics into basic growth analysis, 7: Mathematical properties of basic growth mechanics in ruminant",,0,0,0,0,0,0,1,3,0.8,MSD: law*(3)
2743,5861,"Fukuoka, S.; Fukuda, T.; Uchida, T.",2014,Effects of sizes and shapes of gravel particles on sediment transports and bed variations in a numerical movable-bed channel,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2744,5940,"Akimoto, Hajime; Mori, Yasuaki; Sasaki, Kansuke; Nakanishi, Hiroto; Ohizumi, Tsuyoshi; Itano, Yasuyuki",2015,Analysis of monitoring data of ground-level ozone in Japan for long-term trend during 1990–2010: Causes of temporal and spatial variation,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2745,5981,"Mizunoe, Y. (Kyushu University, Fukuoka (Japan). Graduate School of Bioresource and Bioenvironmental Sciences); Ozaki, Y.",2015,Effects of growth temperature and culture season on morphogenesis of petaloid-stamen in double-flowered cyclamen,,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2746,6026,"Montiel-Rozas, María del Mar; Madejón, Paula; Cabrera, Francisco; Madejón, Engracia; Consejo Superior de Investigaciones Científicas [https://ror.org/02gfc7t72]",2015,Low molecular weight organic acids induced by different plant species in trace element contaminated media,,0,0,0,0,0,0,1,3,0.8,MSD: family(3)
2747,6065,"Miyazaki, M. (The Fukuoka Agriculture and Forestry Research Center Chikushino, (Japan))",2015,Studies on mechanism of heat-tolerance in rice cultivar 'Genkitsukushi' and improvement of grain quality under high temperature condition,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2748,6066,T Fukuoka; T Narazaki; K Sato,2015,Summer-restricted migration of green turtles Chelonia mydas to a temperate habitat of the northwest Pacific Ocean,,0,0,0,0,0,0,1,3,0.8,MSD: seasonal*(3)
2749,6128,"Morita, S. (Fukuoka Agriculture and Forestry Research Center, Chikushino, Fukuoka (Japan)); Ura, H.; Hirata, T.; Miyazaki, M.; Ogata, D.; Uchikawa, O.",2016,Effect of foliar application of urea solution at full heading time on grain protein content of hard red wheat cultivar “Chikushi-W2” used for ramen noodle,,0,0,0,0,0,0,1,3,0.8,MSD: labor(3)
2750,6130,"Yamaguchi, C. (Kyushu University, Fukuoka (Japan). Graduate School of Agricultural Science); Takimoto, Y.; Ohkama-Ohtsu, N.; Hokura, A.; Shinano, T.; Nakamura, T.; Suyama, A.; Maruyama-Nakashita, A.",2016,Effects of cadmium treatment on the uptake and translocation of sulfate in Arabidopsis thaliana,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2751,6205,"Momose, Y. (Fukuoka University, Fukuoka (Japan). Faculty of Medicine, Dept. of Preventive Medicine and Public Health); Suenaga, T.",2016,"The features of non-fatal fall-related injuries not due to agricultural machines among elderly farmers in Fukuoka Prefecture, Japan",,0,0,0,0,0,0,1,3,0.8,MSD: elderly*(3)
2752,6462,Gotoh Takahisa; Fukuoka Shoji,2018,River improvement techniques for mitigating river bed degradation and channel width reduction in the sandy Hii River where sediment transport occurs at normal times,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2753,6525,Zhe Wang; Itsushi Uno; Keiya Yumimoto; Xiaole Pan; Xueshun Chen; Jie Li; Zifa Wang; Atsushi Shimizu; Nobuo Sugimoto,2019,Dust Heterogeneous Reactions during Long-Range Transport of a Severe Dust Storm in May 2017 over East Asia,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2754,6660,"Oba, C. (Fukuoka Agriculture and Forestry Research Center, Chikushino, Fukuoka (Japan)); Sato, T.; Tsukazaki, M.; Baba, N.",2020,Effects of storage temperature and ethylene sensitivity on quality of peaches in mixed transportation,,0,0,0,0,0,0,1,3,0.8,MSD: transport*(3)
2755,90,"Barbosa E.A., do Egito A.A., de Abreu U.G.P., Juliano R.S., da Silva J.P., da Silva Mariante A., Ramos A.F.",2013,Growth curve of locally adapted pantaneiro cows raised under natural conditions,10.1590/S1516-35982013001100002,0,0,0,0,0,0,1,2,0.7,MSD: cattle*(2)
2756,342,"Nacu G., Aioanei N., Pop I.M., Simeanu D., Boisteanu P.-C., Vintila V., Mintas O., Simeanu C., Avarvarei B.-V.",2020,Research regarding crude chemical composition and heavy metal content of some ecological forages utilised in dairy cows nourishment,10.37358/RC.20.3.8014,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2757,346,"Tahat M.M., Alananbeh K.M., Othman Y.A., Leskovar D.I.",2020,Soil health and sustainable agriculture,10.3390/SU12124859,0,0,0,0,0,0,1,2,0.7,MSD: labor(2)
2758,597,"Sawicka B., Pszczotkowski P., Barbas P., Skiba D., Bienia B.",2022,The role and importance of microorganisms in environmental sustainability,10.1002/9781119834489.ch7,0,0,0,0,0,0,1,2,0.7,MSD: societ*(2)
2759,609,"Jeevana Lakshmi E., Kumar M D., Sawargaonkar G.L., Naik A. H K., Dhananjaya B.C.",2022,Zinc and iron biofortification in pearl millet cultivars as influenced by different fertifortification strategies in semi arid tropics,10.1080/01904167.2022.2067052,0,0,0,0,0,0,1,2,0.7,MSD: strateg*(2)
2760,657,"Thakur V., Sharma P., Sharma P., Sharma S.",2023,EFFICACY OF BIOLOGICAL WASTE ON CROPPING TRAITS AND NUTRIENT STATUS OF SOIL IN GARDEN PEA UNDER PROTECTED ENVIRONMENT,10.30638/eemj.2023.172,0,0,0,0,0,0,1,2,0.7,MSD: garden*(2)
2761,716,Ram R.A.,2023,On-Farm Organic Inputs Generation for Quality Vegetable Production,10.1007/978-981-19-9016-8_7,0,0,0,0,0,0,1,2,0.7,MSD: garden*(2)
2762,755,"Yadav R., Sudhishri S., Khanna M., Lal K., Dass A., Kushwaha H.L., Bandyopadhyay K., Dey A., Kushwah A., Nag R.H.",2023,Temporal characterization of biogas slurry: a pre-requisite for sustainable nutrigation in crop production,10.3389/fsufs.2023.1234472,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2763,859,"Mishra A.K., Tiwari A., Maurya P.K., Sharma S.",2024,Enhancing ecosystem dynamics: organic and regenerative practices in rice–wheat systems and their impact on soil arthropod biodiversity,10.3389/fenvs.2024.1407954,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2764,864,"Soni S.K., Dogra S., Sharma A., Thakur B., Yadav J., Soni R.",2024,Enzyme-powered waste valorization: Simultaneous hydrolysis and fermentation of kitchen waste for biofertilizer production,10.1016/j.biteb.2023.101700,0,0,0,0,0,0,1,2,0.7,MSD: systema*(2)
2765,1086,"Kundu S., Srinivasarao C., Singh V.K., Naveen J.",2025,Arid Eco-Region and Dryland Soil Health,10.1002/9780891187400.ch3,0,0,0,0,0,0,1,2,0.7,MSD: societ*(2)
2766,1174,"Varghese R., Ray J.G.",2025,"Ecology of endomycorrhizal association in black pepper (Piper nigrum L.), South India",10.1016/j.jarmap.2024.100617,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2767,1311,"Chopra C., Jeet S., Bhagat S., Tabassum S., Bhanwaria R.",2025,"Morphological and phytochemical characteristics of Cymbopogon flexuosus (Nees ex Steud.) W.Watson cultivars at different harvest intervals in the Western Himalayas, India",10.1002/jsfa.14354,0,0,0,0,0,0,1,2,0.7,MSD: societ*(2)
2768,1681,"Kimura, T; Ueda, K; Kuroda, R; Akao, T; Shinohara, N; Ushirokawa, T; Fukagawa, A; Akimoto, T",2007,The seasonal variation in polysaccharide content of brown alga akamoku Sargassum horneri collected off Oshima Island (Fukuoka Prefecture),10.2331/suisan.73.739,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2769,1703,"Sugihara, S; Efrizal; Osaki, S; Momoshima, N; Maeda, Y",2008,Seasonal variation of natural radionuclides and some elements in plant leaves,10.1007/s10967-008-0812-6,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2770,1815,"Blasdell, KR; Adams, MM; Davis, SS; Walsh, SJ; Aziz-Boaron, O; Klement, E; Tesh, RB; Walker, PJ",2013,A reverse-transcription PCR method for detecting all known ephemeroviruses in clinical samples,10.1016/j.jviromet.2013.04.011,0,0,0,0,0,0,1,2,0.7,MSD: cattle*(2)
2771,1910,"Goh, BKP; Lin, ZM; Tan, DMY; Thng, CH; Khor, CJL; Lim, TKH; Ooi, LLPJ; Chung, AYF",2015,"Evaluation of the Fukuoka Consensus Guidelines for intraductal papillary mucinous neoplasms of the pancreas: Results from a systematic review of 1,382 surgically resected patients",10.1016/j.surg.2015.03.021,0,0,0,0,0,0,1,2,0.7,MSD: systema*(2)
2772,2012,"Park, YJ; Park, CE; Jung, BK; Ibal, JC; Jung, Y; Hong, SJ; Park, GS; Lee, SH; Ko, HS; Shin, JH",2017,"The first complete mitochondrial genome sequence of the leucosiid crab Pyrhila pisum (Arthropoda, Decapoda, Leucosiidae)",10.1080/23802359.2017.1407717,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2773,2050,"Srinivasan, N; Teo, JY; Chin, YK; Hennedige, T; Tan, DM; Low, AS; Thng, CH; Goh, BKP",2018,Systematic review of the clinical utility and validity of the Sendai and Fukuoka Consensus Guidelines for the management of intraductal papillary mucinous neoplasms of the pancreas,10.1016/j.hpb.2018.01.009,0,0,0,0,0,0,1,2,0.7,MSD: systema*(2)
2774,2168,"Fujiwara, M; Sakai, T; Nagai, T; Shiraishi, K; Inai, Y; Khaykin, S; Xi, HS; Shibata, T; Shiotani, M; Pan, LL",2021,Lower-stratospheric aerosol measurements in eastward-shedding vortices over Japan from the Asian summer monsoon anticyclone during the summer of 2018,10.5194/acp-21-3073-2021,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2775,2207,"Aher, SB; Lakaria, BL; Kaleshananda, S; Singh, AB",2022,"Concentration and Uptake of Micronutrients (Fe, Zn, Cu and Mn) in Soybean and Wheat under Organic, Biodynamic and Inorganic Nutrient Management in Semi-arid Tropical Conditions of Central India",10.1080/00103624.2022.2071434,0,0,0,0,0,0,1,2,0.7,MSD: cattle*(2)
2776,2385,"Loftus, JF",2025,"A Geometric Morphometric Dataset of Edo-Period 'Ogame' Jar Profiles from Northern Kyushu, Japan",10.5334/joad.159,0,0,0,0,0,0,1,2,0.7,MSD: modern(2)
2777,1811,"Sato, K; Takami, A; Ogawa, Y; Yoshino, A; Suzuki, R; Hatakeyama, S; Hara, K; Hayashi, M; Kaneyasu, N",2012,Regional and local air pollutions of organic aerosols in highly-populated city of East Asia,,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2778,1818,"Okamura, S; Okabe, K; Fukuoka, S",2013,Bed variation analysis using the sediment transport formula considering the effect of river width and cross-sectional form in the Ishikari River mouth,,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2779,2561,"Hiramatsu, K. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Shikasho, S.; Mori, K.",2000,Chaotic and fractal modeling of water-stage time series in a tidal river,,0,0,0,0,0,0,1,2,0.7,MSD: embedded*(2)
2780,2659,"Yoshimura, Y. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Kubota, F.",2000,Estimation of vein length in a leaf of sweet potato (Ipomoea batatas Lam.) by the lattice crossing method,,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2781,2926,"Kakihara, T. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Umeda, T.; Harada, M.; Kojima, Y.",2001,Effects of degradability in intake protein from milk production and in the milk composition by lactating Holstein cows,,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2782,2928,"Kadowaki, M. (Kyushu Univ., Fukuoka (Japan)); Kubota, F.; Saitou, K.",2001,"Effects of exogenous injection of sucrose solution to plant on the carbon distribution to tuberous root and tuberous root production in sweet potato, Ipomoea batatas Lam",,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2783,2959,"""Hiramatsu, K. (Kyushu Univ., Fukuoka (Japan)); Shikasho, S. """,2001,Flood mitigation function estimates of a flat low-lying agricultural area along the lower reach of the Chikugo River [Japan],,0,0,0,0,0,0,1,2,0.7,MSD: urbaniz*(2)
2784,3065,"Matsuda, K. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Shimizu, N.; Nakamura, S.; Moriyama, H.; Sakaida, T.",2001,"Seasonal occurrence and control of tea rust mite, Acaphylla theavagrans Kadono",,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2785,3268,"Setojima, M. (Kokusai Kogyo Co. Ltd., Tokyo (Japan)); Akamatsu, Y.; Imai, Y.; Shigematsu, T.; Asahiro, K.; Kodama, S.",2002,Identifying typical satoyama coppice trees by analyzing seasonal color change on aerial photographs,,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2786,3416,"Doi, K. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Zhang, Y.; Nishizaki, Y.; Umeda, A.; Ohmomo, S.; Ogata, S.",2003,A comparative study and phage typing of silage-making Lactobacillus bacteriophages,,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2787,3819,"Irie, M. (Kyushu Univ., Fukuoka (Japan)); Suzuki, N.; Maeda, K.",2004,Dynamic oligopoly with conjectural variations,,0,0,0,0,0,0,1,2,0.7,MSD: strateg*(2)
2788,3863,"Vararin Vongpanich(Department of Fisheries, Bangkok (Thailand). Phuket Marine Biological Center); Matsukuma, Akihiko(Kyushu University Museum, Fukuoka (Japan))",2004,Family Noetiidae in Thailand,,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2789,3967,"Nakamura, T. (Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Matsumura, M.; Urano, S.; Tokuda, M.",2004,Seasonal occurrence of predacious mirid bugs and rice planthoppers in a rice paddy field after release of the mirid bug Cyrtorhinus lividipennis Reuter,,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2790,3969,"Kobayashi, H. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Gyokusen, K.",2004,Seasonal variations in light and leaf nitrogen distribution in a Cryptomeria japonica canopy,,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2791,4510,"Kitazaki, K.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan))",2006,Factorial analysis of hoof and leg disease in dairy cow by using a multiple logistic regression analysis,,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2792,4617,"Aratake, H.(Kyushu Univ., Fukuoka (Japan)); Nakazono, A.",2006,"Seasonal change of egg size and number in the anemone fish, Amphiprion clarkii, at two different localities in the temperate Kyusyu, Japan",,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2793,4833,"Fukuhara, F.(Kyushu Univ., Fukuoka (Japan)); Takagi, M.",2007,Indigenous parasitoid complex of Chromatomyia horticola (Goureau) on vegetables in Fukuoka [Japan],,0,0,0,0,0,0,1,2,0.7,MSD: garden*(2)
2794,4952,"Kimura, T.(Fukuoka-ken. Industrial Technology Center, Kurume (Japan)); Ueda, K.; Kuroda, R.; Akao, T.; Shinohara, N.; Ushirokawa, T.; Fukagawa, A.; Akimoto, T.",2007,The seasonal variation in polysaccharide content of brown alga akamoku Sargassum horneri collected off Oshima Island (Fukuoka prefecture) [Japan],,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
2795,4954,"Watanabe, H.; Yahata, Y.; Fukuoka, M.; Sakiyama, T.; Mihori, T.",2007,The thermodynamic basis for the Relative Water Demand Model that describes non-Fickian water diffusion in starchy foods,,0,0,0,0,0,0,1,2,0.7,MSD: law*(2)
2796,5034,"Hamagami, K.(Kyushu Univ., Fukuoka (Japan)); Mori, K.; Hirai, Y.",2008,Development process of thermal convection based on water surface cooling with aquatic plants,,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2797,5050,"Yokoyama, M.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Tsubaki, M.; Asaoka, S.; Umeda, T.; Koga, Y.",2008,"Effects of a total mixed ration containing dried sweet potato [Ipomoea batatas] on dry matter intake, rumen fermentation, and lactation performance in lactating dairy cows",,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2798,5065,"Kitazaki, K.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan))",2008,Epidemiological survey and analysis of environmental factors on slight hoof and leg diseases in dairy cow,,0,0,0,0,0,0,1,2,0.7,MSD: dairy*(2)
2799,5070,"Hirai, Y.(Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Tagami, K.; Hamagami, K.; Uchida, S.; Inaba, S.; Mori, K.",2008,"Evaluation of environment on rice production for the rice [Oryza sativa] terraces in Hoshino Village [Fukuoka, Japan]",,0,0,0,0,0,0,1,2,0.7,MSD: village*(2)
2800,5148,"Oo, H.H.(Kyushu Univ., Fukuoka (Japan)); Araki, T.; Saitou, K.; Kubota, F.",2008,"Response of growth, gas exchange and PSII electron transport in greengram (Vigna radiata L., Wilczek) varieties and other pulse species to drought and re-watering",,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2801,5176,"Tsurumaru, H.(Kyushu Univ., Fukuoka (Japan)); Yamakawa, T.; Tanaka, M.; Sakai, M.",2008,"The efficient strategy of plasmid rescue from Tn5 mutants derived from Bradyrhizobium japonicum Is-1, based on whole genome sequence information of strain USDA110",,0,0,0,0,0,0,1,2,0.7,MSD: strateg*(2)
2802,5301,"Uchikawa, O.(Fukuoka-ken. Agricultural Research Center, Chikushino (Japan)); Tanaka, K.; Miyazaki, M.; Matsue, Y.",2009,"Effects of planting pattern on growth, yield and nitrogen fixation activity of soybean [Glycine max] cropped with late planting and non intertillage cultivation method in northern Kyusyu [Japan]",,0,0,0,0,0,0,1,2,0.7,MSD: labor(2)
2803,5354,"Miyamoto, T.(Kyushu Univ., Fukuoka (Japan)); Kawaguchi, J.; Shimotsu, S.; Kawagishi, J.; Honjoh, K.",2009,Inhibitors of adhesion ability of Salmonella Enteritidis,,0,0,0,0,0,0,1,2,0.7,MSD: garden*(2)
2804,5447,"Matsumura, Y.",2009,"Studies of stocking techniques and effectiveness for the ocellate puffer, Takifugu rubripes in Ariake Sound",,0,0,0,0,0,0,1,2,0.7,MSD: strateg*(2)
2805,5514,"Suzuki, S., National Food Research Inst., Tsukuba, Ibaraki (Japan); Fukuoka, M.; Ookuchi, H.; Sano, M.; Ozeki, K.; Nagayashi, E.; Takii, Y.; Matsushita, M.; Tada, S.; Kusumoto, K.; Kashiwagi, Y.",2010,Characterization of Aspergillus oryzae glycoside hydrolase family 43 beta-xylosidase expressed in Escherichia coli,,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2806,5515,"Suzuki, Satoshi; Fukuoka, Mari; Ookuchi, Hikaru; Sano, Motoaki; Ozeki, Kenji; Nagayoshi, Emi; Takii, Yukio; Matsushita, Mayumi; Tada, Sawaki; Kusumoto, Ken-Ichi; Kashiwagi, Yutaka",2010,Characterization of Aspergillus oryzae glycoside hydrolase family 43 β-xylosidase expressed in Escherichia coli,,0,0,0,0,0,0,1,2,0.7,MSD: family(2)
2807,5563,"Yamaguchi, Hirotaka; Fukuoka, Hiroyuki; Arao, Tomohito; Ohyama, Akio; Nunome, Tsukasa; Miyatake, Koji; Negoro, Satomi",2010,"Gene expression analysis in cadmium-stressed roots of a low cadmium-accumulating solanaceous plant, Solanum torvum",,0,0,0,0,0,0,1,2,0.7,MSD: transport*(2)
2808,5600,"Hirai, Y., Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture; Mori, Y.; Hamagami, K.",2010,"Rice production environment in the rice [Oryza sativa] terraces of Hoshino Village, Fukuoka [Japan] Prefecture",,0,0,0,0,0,0,1,2,0.7,MSD: village*(2)
2809,5603,"Miyagi, K., Nakamura Gakuen Univ., Fukuoka (Japan); Koga, N.; Wada, K.; Yano, M.; Ohta, H.",2010,Seasonal changes in quality properties of Shiikuwasha (Citrus depressa Hayata) juice,,0,0,0,0,0,0,1,2,0.7,MSD: seasonal*(2)
